"n_input","beta","block","condition_label","score_type","n_replications","n_failed","mean_effect_size","sd_effect_size","mean_correlation","mean_latent_effect_base_full","mean_latent_effect_condition_full","mean_latent_effect_condition_selected","mean_delta_from_base_full","mean_delta_from_condition_full","mean_delta_from_condition_selected","mean_selection_effect_on_latent_d","mean_x_skew_obs","mean_y_skew_obs","mean_x_kurtosis_obs","mean_y_kurtosis_obs","mean_n_used","prop_significant"
250,0.2,"1A_score_construction","baseline_scores","factor",1000,0,0.12337558117984,0.0413285605283487,0.159772626650265,0.149417719011847,0.149417719011847,0.149417719011847,-0.0260421378320072,-0.0260421378320072,-0.0260421378320072,0,0.000747466577893983,-0.000912979145840324,2.7983555768265,2.78886904525965,250,0.287
250,0.2,"1A_score_construction","baseline_scores","sum",1000,0,0.0991228597440671,0.0354881859777509,0.160100655408731,0.149417719011847,0.149417719011847,0.149417719011847,-0.0502948592677803,-0.0502948592677803,-0.0502948592677803,0,-0.00107155401992472,0.000174384210295211,2.49686156054287,2.49093968451295,250,0.282
250,0.2,"1B_reliability","loading_0.50","sum",1000,0,0.113880554807234,0.0432601551096049,0.127469634026769,0.149417719011847,0.149417719011847,0.149417719011847,-0.0355371642046139,-0.0355371642046139,-0.0355371642046139,0,0.00658766303805449,0.00198250677347646,2.65741539357369,2.65620666341671,250,0.204
250,0.2,"1B_reliability","loading_0.70","sum",1000,0,0.100139493923341,0.0338335822495715,0.16221466386249,0.149417719011847,0.149417719011847,0.149417719011847,-0.0492782250885067,-0.0492782250885067,-0.0492782250885067,0,-0.000399258514025345,3.97790499540245e-05,2.50012910120577,2.49747816884792,250,0.271
250,0.2,"1B_reliability","loading_0.85","sum",1000,0,0.070049188720857,0.0275227080971101,0.180194239278877,0.149417719011847,0.149417719011847,0.149417719011847,-0.0793685302909904,-0.0793685302909904,-0.0793685302909904,0,-0.00342090351609408,7.0477964049837e-05,2.37709855233751,2.38234422003769,250,0.338
250,0.2,"1C_response_categories","n_cat_4","sum",1000,0,0.0695583002264087,0.0276821691339592,0.160071179608688,0.149417719011847,0.149417719011847,0.149417719011847,-0.0798594187854388,-0.0798594187854388,-0.0798594187854388,0,-0.000475904325915398,-0.00209603008521304,2.27623144601807,2.27680268665958,250,0.256
250,0.2,"1C_response_categories","n_cat_5","sum",1000,0,0.101237562526632,0.0363301602632743,0.162661227459608,0.149417719011847,0.149417719011847,0.149417719011847,-0.0481801564852152,-0.0481801564852152,-0.0481801564852152,0,0.000118072733860628,-0.0032661808521562,2.49203174933399,2.49673135186558,250,0.29
250,0.2,"1C_response_categories","n_cat_7","sum",1000,0,0.131973973945101,0.0466743149111844,0.163422896815656,0.149417719011847,0.149417719011847,0.149417719011847,-0.0174437450667464,-0.0174437450667464,-0.0174437450667464,0,-0.00417330776659416,-0.000167907383593517,2.81928577406682,2.83277730684123,250,0.281
250,0.2,"1D_threshold_shift","lower_0.50","sum",1000,0,0.0921429768363816,0.0378288423808159,0.161446237405204,0.149417719011847,0.149417719011847,0.149417719011847,-0.0572747421754658,-0.0572747421754658,-0.0572747421754658,0,-0.267963416992143,-0.267703708701995,2.55325281133207,2.5614154002551,250,0.255
250,0.2,"1D_threshold_shift","lower_0.70","sum",1000,0,0.0827999064924381,0.0407332613887028,0.159860931976875,0.149417719011847,0.149417719011847,0.149417719011847,-0.0666178125194093,-0.0666178125194093,-0.0666178125194093,0,-0.38984780083158,-0.389773462399764,2.63117724732728,2.64764829344939,250,0.229
250,0.2,"1D_threshold_shift","lower_1.00","sum",1000,0,0.0701710344057782,0.0421537333670035,0.155407646845733,0.149417719011847,0.149417719011847,0.149417719011847,-0.0792466846060692,-0.0792466846060692,-0.0792466846060692,0,-0.596773846866186,-0.600558496628414,2.86375481467147,2.8783858797711,250,0.21
250,0.2,"1D_threshold_shift","upper_0.50","sum",1000,0,0.0913072653088465,0.038633708757076,0.16050912803094,0.149417719011847,0.149417719011847,0.149417719011847,-0.0581104537030009,-0.0581104537030009,-0.0581104537030009,0,0.267215087511475,0.271512702155501,2.55618023577195,2.5609173605204,250,0.26
250,0.2,"1D_threshold_shift","upper_0.70","sum",1000,0,0.085111894451818,0.0410354681944664,0.159291905839422,0.149417719011847,0.149417719011847,0.149417719011847,-0.0643058245600294,-0.0643058245600294,-0.0643058245600294,0,0.393302575990956,0.392037176755765,2.64900889045771,2.64713775788606,250,0.245
250,0.2,"1D_threshold_shift","upper_1.00","sum",1000,0,0.0746788304703467,0.0463465215523183,0.157186830233127,0.149417719011847,0.149417719011847,0.149417719011847,-0.0747388885415007,-0.0747388885415007,-0.0747388885415007,0,0.599344790728694,0.59740050654351,2.87569393005671,2.87582128705266,250,0.215
250,0.2,"1E_range_restriction","x_lower","sum",1000,0,0.117052337606676,0.0438303791368847,0.107213057320814,0.149417719011847,0.149417719011847,0.211120425468842,-0.0323653814051714,-0.0323653814051714,-0.0940680878621661,0.0617027064569947,-0.244007545741574,0.0404879418962981,2.56497872725453,2.49135479643978,175,0.179
250,0.2,"1E_range_restriction","x_upper","sum",1000,0,0.0887955185325204,0.0404833793667339,0.105537595737053,0.149417719011847,0.149417719011847,0.0556348593819972,-0.060622200479327,-0.060622200479327,0.0331606591505232,-0.0937828596298502,0.252482611999357,-0.0384276872565451,2.57771647256449,2.49597910108025,175,0.122
250,0.2,"1E_range_restriction","y_lower","sum",1000,0,0.0915991571220025,0.0408813523499778,0.106467578890883,0.149417719011847,0.149417719011847,0.0547191817049555,-0.0578185618898449,-0.0578185618898449,0.036879975417047,-0.0946985373068919,0.0320085216878362,-0.248724888953454,2.4881660161693,2.57003910784224,175,0.14
250,0.2,"1E_range_restriction","y_upper","sum",1000,0,0.115575526090675,0.0446780764963811,0.102465689210851,0.149417719011847,0.149417719011847,0.21049819681192,-0.0338421929211728,-0.0338421929211728,-0.0949226707212455,0.0610804778000727,-0.0348420405027901,0.247472795073853,2.49144498791135,2.57151181391228,175,0.173
250,0.4,"1A_score_construction","baseline_scores","factor",1000,0,0.164416765854885,0.043738919449745,0.330201232457719,0.200989836834673,0.200989836834673,0.200989836834673,-0.0365730709797879,-0.0365730709797879,-0.0365730709797879,0,-0.00152850624819122,-0.000318881443086413,2.78993682707575,2.80019222722148,250,0.729
250,0.4,"1A_score_construction","baseline_scores","sum",1000,0,0.137056762701436,0.0379471957826523,0.330754534884768,0.200989836834673,0.200989836834673,0.200989836834673,-0.0639330741332378,-0.0639330741332378,-0.0639330741332378,0,-0.000885589492293578,-0.000998832982761311,2.49127197496638,2.50025395144862,250,0.726
250,0.4,"1B_reliability","loading_0.50","sum",1000,0,0.143566359428093,0.0469496290617707,0.256422235708658,0.200989836834673,0.200989836834673,0.200989836834673,-0.0574234774065809,-0.0574234774065809,-0.0574234774065809,0,0.00254236963375219,0.00195712385527173,2.65091844380061,2.65941108094765,250,0.515
250,0.4,"1B_reliability","loading_0.70","sum",1000,0,0.137265824162765,0.0381873497352197,0.330389606130428,0.200989836834673,0.200989836834673,0.200989836834673,-0.0637240126719082,-0.0637240126719082,-0.0637240126719082,0,0.00293725190297715,0.00205544865813132,2.49435348964216,2.49718227461513,250,0.723
250,0.4,"1B_reliability","loading_0.85","sum",1000,0,0.108552450903172,0.0296052309157513,0.365028269683009,0.200989836834673,0.200989836834673,0.200989836834673,-0.0924373859315018,-0.0924373859315018,-0.0924373859315018,0,0.00251323284661965,-0.00117862199747593,2.37537100465574,2.38795471894411,250,0.823
