"effect_size","ceiling_zone","scope","ceiling_accuracy","fit","slope","intercept","p_value","p_accuracy","threshold_value","observed_test_stat","significant","test_failed","test_error","n_used","x_unique","y_unique","correlation","x_mean_obs","y_mean_obs","x_sd_obs","y_sd_obs","x_skew_obs","y_skew_obs","x_kurtosis_obs","y_kurtosis_obs","block","condition_label","condition_value","score_type","latent_effect_base_full","latent_correlation_base_full","latent_effect_condition_full","latent_correlation_condition_full","latent_effect_condition_selected","latent_correlation_condition_selected","delta_effect_from_base_full","delta_effect_from_condition_full","delta_effect_from_condition_selected","selection_effect_on_latent_d","latent_n_full","latent_n_selected","n_items","loading","n_cat","spacing","shift_direction","shift_magnitude","central_sd","rep_id","n_input","beta","baseline_loading","baseline_n_cat","baseline_spacing","baseline_shift_direction","baseline_shift_magnitude","baseline_central_sd","baseline_restriction","restriction_lower_q","restriction_upper_q","ceiling","test_rep","sample_size","design_beta","design_id"
0.104166666666667,55,528,100,100,NA,NA,0.5,0.692951912174839,0.0558712121212121,0.104166666666667,FALSE,FALSE,NA,250,25,23,0.21298564354896,18.02,18.016,4.83581849972153,5.01801413543782,0.0298400083721072,0.140081812402009,2.63937657470883,2.29434148618755,"1A_score_construction","baseline_scores","baseline","sum",0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,-0.0282169648909554,-0.0282169648909554,-0.0282169648909554,0,250,250,6,0.7,5,"central","none",0,1.2,1,250,0.2,0.7,5,"central","none",0,1.2,"full",0.3,0.7,"ce_fdh",2,250,0.2,1
0.131194359578422,2.968475977686,22.6265518367167,100,100,NA,NA,0.5,0.692951912174839,0.108483854696139,0.131194359578422,FALSE,FALSE,NA,250,233,229,0.215200181215662,0.00090657082228206,0.000803421477674747,0.920430152544615,0.916839014303614,0.0495626772021263,0.101855544939451,2.98157616122348,2.49600079607211,"1A_score_construction","baseline_scores","baseline","factor",0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,-0.00118927197920055,-0.00118927197920055,-0.00118927197920055,0,250,250,6,0.7,5,"central","none",0,1.2,1,250,0.2,0.7,5,"central","none",0,1.2,"full",0.3,0.7,"ce_fdh",2,250,0.2,1
0.104938271604938,34,324,100,100,NA,NA,0.5,0.692951912174839,0.0827160493827161,0.104938271604938,FALSE,FALSE,NA,250,19,19,0.0442316103304056,17.864,17.852,3.90827358428738,3.7628089140554,0.15400397038485,-0.118990846096687,2.70914762169478,2.67845628885669,"1B_reliability","loading_0.50","0.5","sum",0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,-0.0274453599526838,-0.0274453599526838,-0.0274453599526838,0,250,250,6,0.5,5,"central","none",0,1.2,1,250,0.2,0.7,5,"central","none",0,1.2,"full",0.3,0.7,"ce_fdh",2,250,0.2,1
0.147448015122873,78,529,100,100,NA,NA,0.5,0.692951912174839,0.101512287334594,0.147448015122873,FALSE,FALSE,NA,250,23,23,0.227227505062404,17.932,18.168,4.67491124843273,4.90673825685507,0.0618274138958069,-0.00706436334462545,2.56623941538745,2.1835702554147,"1B_reliability","loading_0.70","0.7","sum",0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,0.0150643835652512,0.0150643835652512,0.0150643835652512,0,250,250,6,0.7,5,"central","none",0,1.2,1,250,0.2,0.7,5,"central","none",0,1.2,"full",0.3,0.7,"ce_fdh",2,250,0.2,1
0.09375,54,576,100,100,NA,NA,0.5,0.692951912174839,0.0444444444444444,0.09375,FALSE,FALSE,NA,250,25,25,0.238322411251181,17.972,17.912,5.47825346658739,5.6426602288133,0.062982352094669,0.122657806837055,2.34394569369488,2.27910451763078,"1B_reliability","loading_0.85","0.85","sum",0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,-0.0386336315576221,-0.0386336315576221,-0.0386336315576221,0,250,250,6,0.85,5,"central","none",0,1.2,1,250,0.2,0.7,5,"central","none",0,1.2,"full",0.3,0.7,"ce_fdh",2,250,0.2,1
0.0740740740740741,24,324,100,100,NA,NA,0.5,0.692951912174839,0.0665123456790123,0.0740740740740741,FALSE,FALSE,NA,250,19,19,0.200344315210609,15.068,14.764,4.18346525336406,4.3892329012992,0.0585617922337404,0.169375989686269,2.28152094223493,2.19840917588212,"1C_response_categories","n_cat_4","4","sum",0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,-0.058309557483548,-0.058309557483548,-0.058309557483548,0,250,250,6,0.7,4,"central","none",0,1.2,1,250,0.2,0.7,5,"central","none",0,1.2,"full",0.3,0.7,"ce_fdh",2,250,0.2,1
0.107954545454545,57,528,100,100,NA,NA,0.5,0.692951912174839,0.0603219696969697,0.107954545454545,FALSE,FALSE,NA,250,25,23,0.170835144940111,18.272,18.056,4.74384149487671,4.89209509080824,0.069111521669934,0.058927230525935,2.56087080970049,2.47631744313047,"1C_response_categories","n_cat_5","5","sum",0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,-0.0244290861030766,-0.0244290861030766,-0.0244290861030766,0,250,250,6,0.7,5,"central","none",0,1.2,1,250,0.2,0.7,5,"central","none",0,1.2,"full",0.3,0.7,"ce_fdh",2,250,0.2,1
0.158145065398335,133,841,100,100,NA,NA,0.5,0.692951912174839,0.118787158145065,0.158145065398335,FALSE,FALSE,NA,250,28,26,0.197944975666252,23.956,23.904,5.27421400147295,5.573782576387,0.0440943641676869,0.0112750942316876,2.94755345968993,2.64929549080016,"1C_response_categories","n_cat_7","7","sum",0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,0.0257614338407132,0.0257614338407132,0.0257614338407132,0,250,250,6,0.7,7,"central","none",0,1.2,1,250,0.2,0.7,5,"central","none",0,1.2,"full",0.3,0.7,"ce_fdh",2,250,0.2,1
0.120982986767486,64,529,100,100,NA,NA,0.5,0.692951912174839,0.0872400756143667,0.120982986767486,FALSE,FALSE,NA,250,23,23,0.154462233241726,21.136,21.108,4.53074104952284,4.73052295095989,-0.318694518955637,-0.140665335352383,2.9044910219525,2.57806543624642,"1D_threshold_shift","lower_0.50","lower_0.50","sum",0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,-0.0114006447901363,-0.0114006447901363,-0.0114006447901363,0,250,250,6,0.7,5,"shifted","lower",0.5,1.2,1,250,0.2,0.7,5,"central","none",0,1.2,"full",0.3,0.7,"ce_fdh",2,250,0.2,1
0.0927318295739348,37,399,100,100,NA,NA,0.666666666666667,0.653321328180018,0.12468671679198,0.0927318295739348,FALSE,FALSE,NA,250,21,19,0.199844177279661,22.276,22.196,4.37038040673788,4.55902652893864,-0.273335524155585,-0.278435933985424,2.52729701679896,2.46881569031989,"1D_threshold_shift","lower_0.70","lower_0.70","sum",0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,0.132383631557622,0.232248832756741,-0.0396518019836873,-0.0396518019836873,-0.0396518019836873,0,250,250,6,0.7,5,"shifted","lower",0.7,1.2,1,250,0.2,0.7,5,"central","none",0,1.2,"full",0.3,0.7,"ce_fdh",2,250,0.2,1
