"block","condition_label","score_type","n_input","beta","n_replications","mean_effect_size","sd_effect_size","mean_correlation","mean_latent_effect_base_full","mean_latent_effect_condition_full","mean_latent_effect_condition_selected","mean_delta_from_base_full","mean_delta_from_condition_full","mean_delta_from_condition_selected","mean_selection_effect_on_latent_d","mean_x_mean_obs","mean_y_mean_obs","mean_x_sd_obs","mean_y_sd_obs","mean_x_skew_obs","mean_y_skew_obs","mean_x_kurtosis_obs","mean_y_kurtosis_obs","mean_n_used","prop_significant"
"1D_threshold_shift","lower_1.00","sum",250,0.2,1000,0.0747260122248368,0.0435294522978442,0.154732864825821,0.149465401313276,0.149465401313276,0.149465401313276,-0.0756860095574245,-0.0756860095574245,-0.0756860095574245,0,23.908148,23.905764,4.14756270197752,4.15302850185563,-0.599626034258581,-0.596353049499952,2.87049380101431,2.85735632449635,250,0
"1D_threshold_shift","upper_0.50","sum",250,0.2,1000,0.0914704983864092,0.0376165769982978,0.159527976859959,0.149465401313276,0.149465401313276,0.149465401313276,-0.058131642060249,-0.058131642060249,-0.058131642060249,0,14.933588,14.933408,4.6285830520864,4.6248597582903,0.267360315449614,0.268418713228256,2.56005647992576,2.56855380665024,250,0
"1D_threshold_shift","upper_0.70","sum",250,0.2,1000,0.084632552705246,0.0415750872338014,0.159866101750372,0.149465401313276,0.149465401313276,0.149465401313276,-0.0653947543901207,-0.0653947543901207,-0.0653947543901207,0,13.757836,13.754064,4.47585126773852,4.47053599399003,0.39001794850335,0.390666935452656,2.64360644065522,2.64319495371053,250,0
"1D_threshold_shift","upper_1.00","sum",250,0.2,1000,0.075485922715543,0.0429912653152071,0.157502168388145,0.149465401313276,0.149465401313276,0.149465401313276,-0.0750792855726367,-0.0750792855726367,-0.0750792855726367,0,12.091384,12.091992,4.1488321931353,4.15577050115487,0.600659835620365,0.599177090407077,2.8802877123296,2.86940816892891,250,0
"1E_range_restriction","x_lower","sum",250,0.2,1000,0.116950824238081,0.0453323265808067,0.106675047317001,0.149465401313276,0.149465401313276,0.21092303755085,-0.0325386963725597,-0.0325386963725597,-0.0940132464878942,0.0614576362375741,15.8165314285714,17.5708171428571,3.64824796067987,4.7453697665793,-0.246104093094585,0.034626199228125,2.5665804278491,2.48911785837066,175,0
"1E_range_restriction","x_upper","sum",250,0.2,1000,0.0905623627907766,0.0398918710504625,0.102602031748578,0.149465401313276,0.149465401313276,0.0558602844346539,-0.0590500447599952,-0.0590500447599952,0.0345864208408978,-0.0935762057127134,20.20344,18.42956,3.64126496970667,4.73948705003722,0.238612998459685,-0.0368844211220906,2.56988152432643,2.49568823735815,175,0
"1E_range_restriction","y_lower","sum",250,0.2,1000,0.0914304615926945,0.0400688087743083,0.10475882934974,0.149465401313276,0.149465401313276,0.0549797198088288,-0.0581184505689592,-0.0581184505689592,0.0363900444463813,-0.0946447905929286,17.5716914285714,15.8048057142857,4.74284933764674,3.63885440110389,0.0352355882471551,-0.242939979569784,2.48921355241719,2.58163386145322,175,0
"1E_range_restriction","y_upper","sum",250,0.2,1000,0.11695554913637,0.0421915659376945,0.104577541498058,0.149465401313276,0.149465401313276,0.210456776788714,-0.0327427172087394,-0.0327427172087394,-0.0937977257619965,0.0609913754754379,18.42364,20.1923771428571,4.73756926986898,3.63280495686253,-0.0321626742561041,0.244627603395568,2.4955580345917,2.57298435627047,175,0
"1A_score_construction","baseline_scores","factor",250,0.4,1000,0.162562691600389,0.0421523348157249,0.330496115320417,0.200503260908986,0.200503260908986,0.200503260908986,-0.037968342976355,-0.037968342976355,-0.037968342976355,0,3.13417964742563e-05,5.80834798731782e-05,0.908632070544558,0.908516879878233,0.00116751500917734,0.00464245454074281,2.80204343516272,2.79792120983302,250,0
"1A_score_construction","baseline_scores","sum",250,0.4,1000,0.136500659277655,0.0369672777366835,0.330961948449922,0.200503260908986,0.200503260908986,0.200503260908986,-0.0640303752990898,-0.0640303752990898,-0.0640303752990898,0,17.997872,17.996512,4.77607139163801,4.78445267524178,0.00289766245274899,0.00494359566851818,2.5017317424092,2.497815632776,250,0
"1B_reliability","loading_0.50","sum",250,0.4,1000,0.141076005031828,0.0464524356313389,0.255328539058617,0.200503260908986,0.200503260908986,0.200503260908986,-0.0594672799636177,-0.0594672799636177,-0.0594672799636177,0,18.002164,18.00422,3.88324680484754,3.88974704391444,0.00310831975377814,0.000902513104203873,2.65632171644212,2.65015783675948,250,0
"1B_reliability","loading_0.70","sum",250,0.4,1000,0.137825364065574,0.0378041965523242,0.330527800402963,0.200503260908986,0.200503260908986,0.200503260908986,-0.0626778968434115,-0.0626778968434115,-0.0626778968434115,0,17.993112,17.99842,4.78260479210051,4.7870505120636,-0.000121342330881398,0.000968357970508851,2.49733382767111,2.49573763973609,250,0
"1B_reliability","loading_0.85","sum",250,0.4,1000,0.109388888888889,0.0292166731039019,0.365691581048826,0.200503260908986,0.200503260908986,0.200503260908986,-0.0911143720200969,-0.0911143720200969,-0.0911143720200969,0,18.000572,17.996808,5.52369492792201,5.52505204714483,0.00248931108258306,0.00389541819033313,2.38097670375641,2.37702558913172,250,0
"1C_response_categories","n_cat_4","sum",250,0.4,1000,0.102200156126869,0.03037329715674,0.327253046066669,0.200503260908986,0.200503260908986,0.200503260908986,-0.0984821560052296,-0.0984821560052296,-0.0984821560052296,0,14.999736,14.9934,4.18345091405145,4.18196813540808,0.000257425064639717,0.00411290752414976,2.27663994951537,2.2731155675415,250,0
"1C_response_categories","n_cat_5","sum",250,0.4,1000,0.137441475500625,0.0374591788166318,0.331066475277808,0.200503260908986,0.200503260908986,0.200503260908986,-0.0630617854083612,-0.0630617854083612,-0.0630617854083612,0,17.998216,17.9954,4.7816130007051,4.78728532174143,0.00485094424506101,0.00372558030686219,2.49089435618609,2.49087580094304,250,0
"1C_response_categories","n_cat_7","sum",250,0.4,1000,0.173049894912784,0.0489652677795361,0.334989849119955,0.200503260908986,0.200503260908986,0.200503260908986,-0.0274533659962017,-0.0274533659962017,-0.0274533659962017,0,23.999944,23.998116,5.26873940798389,5.25932245660264,0.00141679251137171,0.000905758789390627,2.82783986638323,2.83034179914457,250,0
"1D_threshold_shift","lower_0.50","sum",250,0.4,1000,0.125893028227437,0.0429544750033094,0.327330027920004,0.200503260908986,0.200503260908986,0.200503260908986,-0.0749510657441724,-0.0749510657441724,-0.0749510657441724,0,21.074572,21.076624,4.62181046529877,4.62442807692656,-0.26223748683042,-0.270775139728534,2.54702740713099,2.56437386096464,250,0
"1D_threshold_shift","lower_0.70","sum",250,0.4,1000,0.117926654274036,0.0445679684080133,0.324498452491756,0.200503260908986,0.200503260908986,0.200503260908986,-0.0825766066349496,-0.0825766066349496,-0.0825766066349496,0,22.240156,22.236956,4.46897604056071,4.47493104043571,-0.381606295192345,-0.385901143503451,2.62729310587093,2.63746982904603,250,0
"1D_threshold_shift","lower_1.00","sum",250,0.4,1000,0.108616103564769,0.0507839667423856,0.318672998993385,0.200503260908986,0.200503260908986,0.200503260908986,-0.0919509051322046,-0.0919509051322046,-0.0919509051322046,0,23.903596,23.907488,4.15289113918012,4.15132974808108,-0.592767233955985,-0.597919553359349,2.85606835254061,2.8698644625778,250,0
"1D_threshold_shift","upper_0.50","sum",250,0.4,1000,0.128489208606308,0.0433095266354755,0.329257875836413,0.200503260908986,0.200503260908986,0.200503260908986,-0.072014052302678,-0.072014052302678,-0.072014052302678,0,14.935112,14.931572,4.62691556644964,4.63025888005701,0.26532400012402,0.271181897708892,2.55251950940071,2.56351346120554,250,0
"1D_threshold_shift","upper_0.70","sum",250,0.4,1000,0.119683263162588,0.0463267599350654,0.32508701569185,0.200503260908986,0.200503260908986,0.200503260908986,-0.0809266772153943,-0.0809266772153943,-0.0809266772153943,0,13.753156,13.75042,4.47171436903839,4.47622198189016,0.389650036661313,0.391117752466564,2.63837565078439,2.63880909244165,250,0
"1D_threshold_shift","upper_1.00","sum",250,0.4,1000,0.109211894762651,0.0516970709116567,0.319602041732638,0.200503260908986,0.200503260908986,0.200503260908986,-0.0916946233539907,-0.0916946233539907,-0.0916946233539907,0,12.089436,12.099744,4.15865150586852,4.15036078214287,0.599861266124037,0.596541787640456,2.86784107958425,2.86426219979244,250,0
"1E_range_restriction","x_lower","sum",250,0.4,1000,0.152585878545334,0.0474372140009787,0.220424619113938,0.200503260908986,0.200503260908986,0.26097015168231,-0.0480833529199958,-0.0480833529199958,-0.108633534826216,0.0604391171055653,15.8046914285714,17.1324,3.64366825513587,4.62878401357444,-0.237885748226663,0.0633068594966757,2.55803955820972,2.52906002162739,175,0
"1E_range_restriction","x_upper","sum",250,0.4,1000,0.106094516156048,0.0444340563430433,0.220443913525797,0.200503260908986,0.200503260908986,0.0810506610873633,-0.094513532824035,-0.094513532824035,0.0248224443076578,-0.119452599821622,20.1910628571429,18.8585942857143,3.64178587349507,4.62775565778995,0.240107643463067,-0.0588328464720364,2.58007509337351,2.52310502748781,175,0
"1E_range_restriction","y_lower","sum",250,0.4,1000,0.105465335810873,0.0421461533186157,0.219929173393302,0.200503260908986,0.200503260908986,0.0804519762305285,-0.0950914355922788,-0.0950914355922788,0.0249639150643356,-0.120036102851966,17.1411142857143,15.8104171428571,4.63400855207036,3.63536235816335,0.0662803322481658,-0.242665162412529,2.52185775064303,2.56422756616953,175,0
"1E_range_restriction","y_upper","sum",250,0.4,1000,0.152144304604204,0.0475988070738719,0.217806705158022,0.200503260908986,0.200503260908986,0.260034205970929,-0.0484230135004069,-0.0484230135004069,-0.1079840745557,0.0595309450619435,18.8721771428571,20.1921142857143,4.63396497632428,3.64240086441556,-0.065118219915757,0.252333457331102,2.52724956199028,2.56389938024728,175,0
"1A_score_construction","baseline_scores","factor",250,0.6,1000,0.210099224406998,0.0440909667209743,0.49736544108058,0.26405798839173,0.26405798839173,0.26405798839173,-0.0539587639847324,-0.0539587639847324,-0.0539587639847324,0,-5.28841206742801e-05,3.85097504807312e-05,0.908540008146224,0.908203443982969,-0.00232399475905214,0.00255589721002973,2.79208133844497,2.79675501632023,250,0
"1A_score_construction","baseline_scores","sum",250,0.6,1000,0.183941794907495,0.0386239276485298,0.498431488461769,0.26405798839173,0.26405798839173,0.26405798839173,-0.0801161934842352,-0.0801161934842352,-0.0801161934842352,0,18.007836,17.997128,4.78236879027708,4.78139020167473,-0.00285251030133255,0.00262078480235784,2.49437152423874,2.49643291657718,250,0
"1B_reliability","loading_0.50","sum",250,0.6,1000,0.172311702145834,0.0474829394869637,0.382341045284409,0.26405798839173,0.26405798839173,0.26405798839173,-0.0917462862458963,-0.0917462862458963,-0.0917462862458963,0,17.998612,18.005176,3.88608649167048,3.88726081869808,0.000542829217463187,-0.000744787028813602,2.65493550589813,2.64987901846818,250,0
"1B_reliability","loading_0.70","sum",250,0.6,1000,0.183872416338038,0.0372038856650719,0.49704028105085,0.26405798839173,0.26405798839173,0.26405798839173,-0.0801855720536921,-0.0801855720536921,-0.0801855720536921,0,18.000948,17.995636,4.77592364871348,4.78907647217762,-0.00419297642970176,0.00355754096471398,2.49266213425156,2.48327415295858,250,0
"1B_reliability","loading_0.85","sum",250,0.6,1000,0.164207118741765,0.0298219070825332,0.550705614264599,0.26405798839173,0.26405798839173,0.26405798839173,-0.0998508696499646,-0.0998508696499646,-0.0998508696499646,0,18.003264,18.001324,5.52090012068253,5.52521982994619,-0.00121359090415063,-0.000228306965559289,2.38532711243366,2.38196148522209,250,0
"1C_response_categories","n_cat_4","sum",250,0.6,1000,0.1455061514802,0.0322501337783299,0.490158420851152,0.26405798839173,0.26405798839173,0.26405798839173,-0.11855183691153,-0.11855183691153,-0.11855183691153,0,14.99948,15.003932,4.18823564434839,4.17930628989555,-0.00179760843460599,0.000436583781444331,2.26989271414329,2.27239922579849,250,0
"1C_response_categories","n_cat_5","sum",250,0.6,1000,0.184002028039618,0.0392810698429523,0.497404109228736,0.26405798839173,0.26405798839173,0.26405798839173,-0.0800559603521119,-0.0800559603521119,-0.0800559603521119,0,17.994632,18.002708,4.78800529071735,4.78476925912028,0.000376332554440219,0.00415141592950135,2.48872894801856,2.48686146539897,250,0
"1C_response_categories","n_cat_7","sum",250,0.6,1000,0.221953896510298,0.0534192589971888,0.502094837089467,0.26405798839173,0.26405798839173,0.26405798839173,-0.0421040918814323,-0.0421040918814323,-0.0421040918814323,0,23.990308,24.007592,5.26036604977986,5.26162358889667,-0.00449221700609882,-0.00108852505982854,2.82905768059798,2.83059616787508,250,0
"1D_threshold_shift","lower_0.50","sum",250,0.6,1000,0.174221807873042,0.0441241879557257,0.494044005887789,0.26405798839173,0.26405798839173,0.26405798839173,-0.0898361805186886,-0.0898361805186886,-0.0898361805186886,0,21.069248,21.058552,4.6288631778554,4.62194598966977,-0.272357012017567,-0.264419128876141,2.56112911611324,2.55920955905091,250,0
"1D_threshold_shift","lower_0.70","sum",250,0.6,1000,0.16659564217151,0.0495956895842349,0.490613150332686,0.26405798839173,0.26405798839173,0.26405798839173,-0.0974623462202206,-0.0974623462202206,-0.0974623462202206,0,22.23634,22.23926,4.47911873049584,4.47345233327638,-0.396987080226746,-0.391334104676281,2.6499272074467,2.64814992215733,250,0
"1D_threshold_shift","lower_1.00","sum",250,0.6,1000,0.154016546854015,0.0587262386773537,0.483832799273225,0.26405798839173,0.26405798839173,0.26405798839173,-0.11004542820708,-0.11004542820708,-0.11004542820708,0,23.902984,23.901252,4.15651057917775,4.15854660597333,-0.599445826320883,-0.599331195478314,2.87017375121175,2.87338224585081,250,0
"1D_threshold_shift","upper_0.50","sum",250,0.6,1000,0.174649228871108,0.0458058755819254,0.493508412464728,0.26405798839173,0.26405798839173,0.26405798839173,-0.0894087595206224,-0.0894087595206224,-0.0894087595206224,0,14.929316,14.932988,4.62660458839604,4.62429481103236,0.267373031055959,0.272832905575733,2.56483755998531,2.56303817336619,250,0
