"n_input","beta","n_replications","mean_effect_size","sd_effect_size","se_effect_size","ci_low","ci_high","mean_correlation","mean_x_skew","mean_y_skew","mean_x_kurtosis","mean_y_kurtosis","prop_significant"
250,0.4,1000,0.20089116708776,0.0589255718696379,0.00186339019536002,0.197238922304855,0.204543411870666,0.395860453197629,0.0026856945314933,0.00202420977563386,2.94924319554665,2.94932412103879,0
500,0.4,1000,0.193238911908056,0.0502982418953781,0.00159057006691499,0.190121394576903,0.19635642923921,0.400950938453018,0.00470803520618668,-0.000499782583628485,2.97404666814066,2.96262257131808,0
1000,0.4,1000,0.188120149233802,0.0474142838901882,0.00149937130718824,0.185181381471714,0.191058916995891,0.398831597588164,-0.000979459438920523,-0.00133530980412272,2.98016605074521,2.98821506020777,0
2000,0.4,1000,0.181281798948593,0.0397261133086129,0.00125625000641144,0.178819548936026,0.183744048961159,0.398147253882285,0.00210422269566554,0.000350768151947355,2.99041422510118,2.99487972229386,0
4000,0.4,1000,0.176825428351271,0.0372229162257736,0.00117709196427083,0.1745183281013,0.179132528601242,0.400356521091776,-0.00140583289269873,0.000194140218210228,2.99278992050325,2.9964529673041,0
6000,0.4,1000,0.17582858240509,0.0348069448399547,0.00110069224086102,0.173671225613002,0.177985939197178,0.400647285160129,0.00122708084486471,0.000334570828645106,2.99812072405857,2.99788597745511,0
8000,0.4,1000,0.172914001617349,0.0327432420549902,0.00103543222871981,0.170884554449058,0.17494344878564,0.399807143917208,0.000204820848396586,0.000747535536813452,2.9990774067038,2.99733663636367,0
10000,0.4,1000,0.172497786358792,0.0320539119233541,0.00101363369596228,0.170511064314706,0.174484508402878,0.399812560164584,4.39131510665745e-05,-0.000173493483166005,2.9967654510281,2.9979219485622,0
